locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_13570,0,0.012,0.003,0,0.009,0.006,0.009,0.006,0,0.003
R7A2020_13575,0.031,0.082,0.036,0.043,0.033,0.036,0.087,0.041,0.036,0.029
R7A2020_13580,0.046,0.085,0.049,0.033,0.037,0.064,0.092,0.042,0.033,0.045
R7A2020_13585,0.062,0.106,0.056,0.047,0.047,0.069,0.092,0.035,0.039,0.048
R7A2020_13590,0.06,0.114,0.06,0.06,0.041,0.055,0.118,0.06,0.042,0.053
R7A2020_13595,0.088,0.154,0.077,0.066,0.06,0.071,0.126,0.038,0.077,0.06
R7A2020_13600,0.042,0.087,0.043,0.05,0.034,0.054,0.08,0.045,0.033,0.027
R7A2020_13605,0.063,0.12,0.061,0.051,0.055,0.062,0.131,0.056,0.068,0.054
R7A2020_13610,0.054,0.104,0.039,0.052,0.044,0.055,0.131,0.063,0.064,0.046
R7A2020_13615,0.073,0.128,0.055,0.079,0.061,0.079,0.134,0.085,0.061,0.024
R7A2020_13620,0.065,0.114,0.062,0.053,0.032,0.062,0.115,0.06,0.053,0.042
R7A2020_13625,0.043,0.083,0.04,0.034,0.034,0.056,0.076,0.031,0.033,0.028
R7A2020_13630,0.048,0.079,0.044,0.05,0.037,0.057,0.089,0.033,0.055,0.037
R7A2020_13635,0.058,0.121,0.066,0.061,0.061,0.047,0.096,0.044,0.047,0.052
