locus_tag	ins_index.NSES	ins_index.WTES
R7A2020_03880	0.074	0.057
R7A2020_03885	0.082	0.072
R7A2020_03890	0.158	0.157
R7A2020_03895	0.211	0.211
R7A2020_03900	0.158	0.159
R7A2020_03905	0.069	0.086
R7A2020_03905	0.069	0.086
R7A2020_03910	0.172	0.177
R7A2020_03915	0.168	0.198
R7A2020_03920	0.155	0.193
R7A2020_03925	0.173	0.166
R7A2020_03930	0.166	0.152
R7A2020_03935	0.181	0.184
R7A2020_03940	0.203	0.222
R7A2020_03945	0.159	0.164
R7A2020_03950	0.173	0.130
R7A2020_03955	0.224	0.213
R7A2020_03960	0.165	0.178
R7A2020_03965	0.169	0.143
R7A2020_03970	0.127	0.143
R7A2020_03975	0.170	0.185
R7A2020_03980	0.247	0.234
R7A2020_03985	0.195	0.181
R7A2020_03990	0.209	0.225
R7A2020_03995	0.210	0.199
R7A2020_04000	0.257	0.208
R7A2020_04005	0.155	0.179
R7A2020_04010	0.198	0.183
