locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_02440	0.038	0.048
R7A2020_02445	0.062	0.063
R7A2020_02450	0.054	0.052
R7A2020_02455	0.063	0.068
R7A2020_02460	0.044	0.046
R7A2020_02465	0.038	0.042
R7A2020_02470	0.048	0.028
R7A2020_02475	0.062	0.056
R7A2020_02480	0.032	0.041
R7A2020_02485	0.054	0.061
R7A2020_02490	0.012	0.035
R7A2020_02495	0.037	0.037
R7A2020_02500	0.090	0.080
R7A2020_02505	0.069	0.054
R7A2020_02510	0.062	0.033
R7A2020_02515	0.051	0.072
R7A2020_02520	0.051	0.053
R7A2020_02525	0.045	0.057
R7A2020_02530	0.039	0.035
R7A2020_02535	0.066	0.076
R7A2020_02540	0.056	0.052
R7A2020_02545	0.045	0.045
R7A2020_02550	0.042	0.042
R7A2020_02555	0.058	0.060
R7A2020_02560	0.035	0.046
R7A2020_02565	0.029	0.044
R7A2020_02570	0.019	0.038
R7A2020_02570	0.019	0.038
R7A2020_02575	0.042	0.054
R7A2020_02580	0.059	0.065
R7A2020_02585	0.048	0.046
R7A2020_02590	0.053	0.058
R7A2020_02595	0.053	0.046
R7A2020_02600	0.040	0.064
R7A2020_02605	0.039	0.049
R7A2020_02610	0.055	0.043
R7A2020_02615	0.036	0.050
R7A2020_02620	0.048	0.063
R7A2020_02625	0.044	0.053
R7A2020_02630	0.038	0.081
R7A2020_02635	0.061	0.056
R7A2020_02640	0.054	0.054
R7A2020_02645	0.040	0.061
R7A2020_02650	0.075	0.063
R7A2020_02655	0.068	0.045
R7A2020_02660	0.068	0.075
R7A2020_02665	0.061	0.073
R7A2020_02670	0.049	0.049
R7A2020_02675	0.053	0.047
R7A2020_02680	0.073	0.081
R7A2020_02685	0.066	0.060
R7A2020_02690	0.051	0.059
R7A2020_02695	0.000	0.049
R7A2020_02700	0.019	0.032
R7A2020_02705	0.050	0.064
R7A2020_02710	0.036	0.048
R7A2020_02715	0.036	0.057
R7A2020_02720	0.073	0.081
R7A2020_02725	0.060	0.066
R7A2020_02730	0.039	0.063
R7A2020_02735	0.051	0.050
R7A2020_02740	0.059	0.052
R7A2020_02745	0.054	0.052
R7A2020_02750	0.056	0.051
R7A2020_02755	0.048	0.047
R7A2020_02760	0.035	0.042
R7A2020_02765	0.048	0.040
R7A2020_02770	0.033	0.036
R7A2020_02775	0.056	0.053
R7A2020_02780	0.072	0.053
R7A2020_02785	0.046	0.050
R7A2020_02790	0.042	0.056
R7A2020_02795	0.047	0.061
R7A2020_02800	0.046	0.038
R7A2020_02805	0.026	0.041
R7A2020_02810	0.044	0.057
R7A2020_02815	0.055	0.053
R7A2020_02820	0.043	0.049
R7A2020_02825	0.048	0.039
R7A2020_02830	0.035	0.051
R7A2020_02835	0.002	0.000
R7A2020_02840	0.000	0.001
R7A2020_02845	0.039	0.032
R7A2020_02850	0.011	0.020
R7A2020_02850	0.011	0.020
R7A2020_02855	0.049	0.047
R7A2020_02860	0.003	0.001
R7A2020_02865	0.056	0.045
R7A2020_02870	0.054	0.053
R7A2020_02875	0.046	0.056
R7A2020_02880	0.032	0.061
R7A2020_02885	0.000	0.000
R7A2020_02890	0.036	0.032
R7A2020_02895	0.039	0.042
R7A2020_02900	0.032	0.057
R7A2020_02905	0.039	0.026
R7A2020_02910	0.063	0.055
R7A2020_02915	0.060	0.055
R7A2020_02920	0.049	0.097
R7A2020_02925	0.019	0.036
R7A2020_02930	0.035	0.039
R7A2020_02935	0.026	0.038
R7A2020_02940	0.042	0.048
R7A2020_02945	0.052	0.052
R7A2020_02950	0.055	0.060
R7A2020_02955	0.067	0.070
R7A2020_02960	0.003	0.004
R7A2020_02965	0.051	0.060
R7A2020_02970	0.068	0.050
R7A2020_02975	0.053	0.045
R7A2020_02980	0.042	0.061
R7A2020_02985	0.054	0.054
R7A2020_02990	0.041	0.052
R7A2020_02995	0.066	0.078
R7A2020_03000	0.029	0.042
R7A2020_03005	0.000	0.000
R7A2020_03010	0.053	0.068
R7A2020_03015	0.078	0.063
R7A2020_03020	0.001	0.000
R7A2020_03025	0.000	0.000
R7A2020_03030	0.017	0.026
